,IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand,NeuerFall,NeuerTodesfall
43,1,Schleswig-Holstein,SK Kiel,A60-A79,M,1,1,207884,2020-03-23,01002,24.03.2020 00:00,1,1
44,1,Schleswig-Holstein,SK Kiel,A60-A79,W,1,0,207885,2020-03-18,01002,24.03.2020 00:00,0,0
45,1,Schleswig-Holstein,SK Kiel,A60-A79,W,2,0,207886,2020-03-23,01002,24.03.2020 00:00,1,0
46,1,Schleswig-Holstein,SK Kiel,A80+,W,2,0,207887,2020-03-23,01002,24.03.2020 00:00,1,0
47,1,Schleswig-Holstein,SK Lübeck,A00-A04,M,1,0,207888,2020-03-23,01003,24.03.2020 00:00,1,0
48,1,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,207889,2020-03-11,01003,24.03.2020 00:00,0,0
49,1,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,207890,2020-03-18,01003,24.03.2020 00:00,0,0
50,1,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,207891,2020-03-19,01003,24.03.2020 00:00,0,0
51,1,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,207892,2020-03-20,01003,24.03.2020 00:00,0,0
52,1,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,207893,2020-03-23,01003,24.03.2020 00:00,1,0
53,1,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,207894,2020-03-08,01003,24.03.2020 00:00,0,0
54,1,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,207895,2020-03-17,01003,24.03.2020 00:00,0,0
55,1,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,207896,2020-03-18,01003,24.03.2020 00:00,0,0
56,1,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,207897,2020-03-19,01003,24.03.2020 00:00,0,0
57,1,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,207898,2020-03-23,01003,24.03.2020 00:00,1,0
58,1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,207899,2020-02-29,01003,24.03.2020 00:00,0,0
59,1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,207900,2020-03-11,01003,24.03.2020 00:00,0,0
60,1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,207901,2020-03-15,01003,24.03.2020 00:00,0,0
61,1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,207902,2020-03-17,01003,24.03.2020 00:00,0,0
62,1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,207903,2020-03-18,01003,24.03.2020 00:00,0,0
63,1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,207904,2020-03-19,01003,24.03.2020 00:00,0,0
64,1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,207905,2020-03-20,01003,24.03.2020 00:00,1,0
65,1,Schleswig-Holstein,SK Lübeck,A35-A59,M,3,0,207906,2020-03-23,01003,24.03.2020 00:00,1,0
66,1,Schleswig-Holstein,SK Lübeck,A35-A59,W,2,0,207907,2020-03-11,01003,24.03.2020 00:00,0,0
67,1,Schleswig-Holstein,SK Lübeck,A35-A59,W,1,0,207908,2020-03-12,01003,24.03.2020 00:00,0,0
68,1,Schleswig-Holstein,SK Lübeck,A35-A59,W,1,0,207909,2020-03-13,01003,24.03.2020 00:00,0,0
69,1,Schleswig-Holstein,SK Lübeck,A35-A59,W,1,0,207910,2020-03-18,01003,24.03.2020 00:00,0,0
70,1,Schleswig-Holstein,SK Lübeck,A35-A59,W,1,0,207911,2020-03-20,01003,24.03.2020 00:00,1,0
71,1,Schleswig-Holstein,SK Lübeck,A35-A59,W,2,0,207912,2020-03-23,01003,24.03.2020 00:00,1,0
72,1,Schleswig-Holstein,SK Lübeck,A60-A79,M,1,0,207913,2020-03-11,01003,24.03.2020 00:00,0,0
73,1,Schleswig-Holstein,SK Lübeck,A60-A79,M,1,1,207914,2020-03-18,01003,24.03.2020 00:00,0,0
74,1,Schleswig-Holstein,SK Lübeck,A60-A79,W,3,0,207915,2020-03-23,01003,24.03.2020 00:00,1,0
75,1,Schleswig-Holstein,SK Lübeck,A80+,M,1,0,207916,2020-03-23,01003,24.03.2020 00:00,1,0
76,1,Schleswig-Holstein,SK Lübeck,unbekannt,W,1,0,207917,2020-03-20,01003,24.03.2020 00:00,1,0
77,1,Schleswig-Holstein,SK Neumünster,A15-A34,M,1,0,207918,2020-03-18,01004,24.03.2020 00:00,0,0
78,1,Schleswig-Holstein,SK Neumünster,A15-A34,M,1,0,207919,2020-03-23,01004,24.03.2020 00:00,1,0
79,1,Schleswig-Holstein,SK Neumünster,A15-A34,W,1,0,207920,2020-03-20,01004,24.03.2020 00:00,0,0
80,1,Schleswig-Holstein,SK Neumünster,A35-A59,M,2,0,207921,2020-03-18,01004,24.03.2020 00:00,0,0
81,1,Schleswig-Holstein,SK Neumünster,A35-A59,W,1,0,207922,2020-03-16,01004,24.03.2020 00:00,0,0
82,1,Schleswig-Holstein,SK Neumünster,A35-A59,W,1,0,207923,2020-03-18,01004,24.03.2020 00:00,0,0
83,1,Schleswig-Holstein,SK Neumünster,A35-A59,W,1,0,207924,2020-03-23,01004,24.03.2020 00:00,1,0
84,1,Schleswig-Holstein,SK Neumünster,A60-A79,W,1,0,207925,2020-03-20,01004,24.03.2020 00:00,0,0
85,1,Schleswig-Holstein,SK Neumünster,A80+,W,1,0,207926,2020-03-23,01004,24.03.2020 00:00,1,0
86,1,Schleswig-Holstein,LK Dithmarschen,A15-A34,M,1,0,207927,2020-03-18,01051,24.03.2020 00:00,0,0
87,1,Schleswig-Holstein,LK Dithmarschen,A15-A34,W,1,0,207928,2020-03-05,01051,24.03.2020 00:00,0,0
88,1,Schleswig-Holstein,LK Dithmarschen,A35-A59,M,1,0,207929,2020-03-15,01051,24.03.2020 00:00,0,0
89,1,Schleswig-Holstein,LK Dithmarschen,A35-A59,W,2,0,207930,2020-03-15,01051,24.03.2020 00:00,0,0
90,1,Schleswig-Holstein,LK Dithmarschen,A35-A59,W,1,0,207931,2020-03-18,01051,24.03.2020 00:00,0,0
91,1,Schleswig-Holstein,LK Dithmarschen,A35-A59,W,1,0,207932,2020-03-20,01051,24.03.2020 00:00,1,0
92,1,Schleswig-Holstein,LK Dithmarschen,A60-A79,M,1,0,207933,2020-03-15,01051,24.03.2020 00:00,0,0
93,1,Schleswig-Holstein,LK Dithmarschen,A60-A79,M,1,0,207934,2020-03-18,01051,24.03.2020 00:00,0,0
94,1,Schleswig-Holstein,LK Dithmarschen,A60-A79,M,1,0,207935,2020-03-19,01051,24.03.2020 00:00,0,0
95,1,Schleswig-Holstein,LK Dithmarschen,A60-A79,M,1,0,207936,2020-03-20,01051,24.03.2020 00:00,1,0
96,1,Schleswig-Holstein,LK Dithmarschen,A60-A79,W,1,0,207937,2020-03-15,01051,24.03.2020 00:00,0,0
97,1,Schleswig-Holstein,LK Dithmarschen,A60-A79,W,1,0,207938,2020-03-18,01051,24.03.2020 00:00,0,0
98,1,Schleswig-Holstein,LK Dithmarschen,A60-A79,W,1,0,207939,2020-03-20,01051,24.03.2020 00:00,0,0
99,1,Schleswig-Holstein,LK Dithmarschen,A80+,M,1,0,207940,2020-03-23,01051,24.03.2020 00:00,1,0
100,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A00-A04,M,2,0,207941,2020-03-21,01053,24.03.2020 00:00,1,0
101,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A05-A14,M,1,0,207942,2020-03-23,01053,24.03.2020 00:00,1,0
102,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,M,1,0,207943,2020-03-11,01053,24.03.2020 00:00,0,0
103,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,M,1,0,207944,2020-03-18,01053,24.03.2020 00:00,0,0
104,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,M,1,0,207945,2020-03-21,01053,24.03.2020 00:00,1,0
105,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,M,1,0,207946,2020-03-23,01053,24.03.2020 00:00,1,0
106,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,1,0,207947,2020-03-02,01053,24.03.2020 00:00,0,0
107,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,1,0,207948,2020-03-10,01053,24.03.2020 00:00,0,0
108,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,1,0,207949,2020-03-11,01053,24.03.2020 00:00,0,0
109,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,1,0,207950,2020-03-16,01053,24.03.2020 00:00,0,0
110,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,1,0,207951,2020-03-19,01053,24.03.2020 00:00,0,0
111,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,1,0,207952,2020-03-21,01053,24.03.2020 00:00,1,0
